Created On,BookingId,Product,Medium,Type,Debit,Credit,Gross Earnings,Bill Number,Available Balance,Utilization,Status,Sub-Type,Deposit Amount,Agent UserId,Payment Reference,Reason,Comments,Payment Fee,Markup,TDS,Ref. Id,Amendment Id,Logged In UserId Id,Booking User Id,Billing Date Time,Entity Code,Transaction Currency,LoggedIn username,Booking username
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04-2024 13:06,TJ901188852440,RAIL,Deposit,Refund,,4620,,,4630.05,,Success,Topup,4620,,4212287684,,,0,0,0,TJ901188852440,TJA3688946640,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
01-04-2024 13:16,308288948181,WALLET_TOPUP,Deposit,Topup,,550,,,5180.05,,Success,,550,,8508251083,Paid using: Payphi; Payment Fee: 0.00; Merchant Txn Id: 2200163174068,,0,0,0,308288948181,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
01-04-2024 13:17,TJ903288948420,RAIL,Deposit,Paid For Order,5176.3,,,,3.75,,Success,,5176.3,,9238994516,,,0,0,0,TJ903288948420,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
02-04-2024 12:55,308189022717,WALLET_TOPUP,Deposit,Topup,,2300,,,2303.75,,Success,,2300,,1826015492,Paid using: Payphi; Payment Fee: 0.00; Merchant Txn Id: 2200163425664,,0,0,0,308189022717,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
02-04-2024 13:05,TJ902889024208,RAIL,Deposit,Paid For Order,2177.7,,,,126.05,,Success,,2177.7,,6270672469,,,0,0,0,TJ902889024208,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
03-04-2024 10:02,305289087925,WALLET_TOPUP,Deposit,Topup,,420,,,546.05,,Success,,420,,6619721970,Paid using: Payphi; Payment Fee: 0.00; Merchant Txn Id: 2200163609348,,0,0,0,305289087925,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
03-04-2024 10:06,302889088119,WALLET_TOPUP,Deposit,Topup,,24,,,570.05,,Success,,24,,0273025752,Paid using: Payphi; Payment Fee: 0.00; Merchant Txn Id: 4400163611371,,0,0,0,302889088119,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
03-04-2024 10:08,TJ900989088285,RAIL,Deposit,Paid For Order,569.05,,,,1,,Success,,569.05,,1607611210,,,0,0,0,TJ900989088285,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
03-04-2024 10:47,TJ900989088285,RAIL,Deposit,Reverse,,569.05,,,570.05,,Success,Topup,569.05,,7683782510,,,0,0,0,TJ900989088285,,,81068428,,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED
03-04-2024 11:01,TJ908989092632,RAIL,Deposit,Paid For Order,569.05,,,,1,,Success,,569.05,,6369882002,,,0,0,0,TJ908989092632,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
03-04-2024 17:56,305389135175,WALLET_TOPUP,Deposit,Topup,,50000,,,50001,,Success,,50000,,2484484992,Paid using: Payphi; Payment Fee: 0.00; Merchant Txn Id: 2200163796053,,0,0,0,305389135175,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
03-04-2024 18:05,TJ908189136048,RAIL,Deposit,Paid For Order,12228.1,,,,37772.9,,Success,,12228.1,,3626339093,,,0,0,0,TJ908189136048,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
