"Created On","BookingId","Product","Medium","Type","Debit","Credit","Gross Earnings","Bill Number","Available Balance","Utilization","Status","Sub-Type","Deposit Amount","Agent UserId","Payment Reference","Reason","Comments","Payment Fee","Markup","TDS","Ref. Id","Amendment Id","Logged In UserId Id","Booking User Id","Billing Date Time","Entity Code","Transaction Currency","LoggedIn username","Booking username"
"Apr 2, 2024 3:32 PM","301989038230","WALLET_TOPUP","Credit Line","Topup","","197397.77","","282173710159","582966.21","17033.79","Success","Bill Settle","214432","","5030579527","Paid using: hdfc_ccavenue; Payment Fee: 15.00; Merchant Txn Id: 113235393302","","0","0","0","301989038230","","31061288","31061288","Apr 2, 2024 3:32 PM","","","ASPIRE TOURISM INDIA PVT LTD","ASPIRE TOURISM INDIA PVT LTD"
"Apr 2, 2024 3:32 PM","301989038230","WALLET_TOPUP","Credit Line","Topup","","17033.79","","931418564683","600000","0","Success","Bill Settle","214432","","1774636199","Paid using: hdfc_ccavenue; Payment Fee: 15.00; Merchant Txn Id: 113235393302","","0","0","0","301989038230","","31061288","31061288","Apr 2, 2024 3:32 PM","","","ASPIRE TOURISM INDIA PVT LTD","ASPIRE TOURISM INDIA PVT LTD"
"Apr 2, 2024 3:32 PM","301989038230","WALLET_TOPUP","Deposit","Topup","","0.44","","","0.44","","Success","","214432","","9699483510","Paid using: hdfc_ccavenue; Payment Fee: 15.00; Merchant Txn Id: 113235393302","","0","0","0","301989038230","","31061288","31061288","","","","ASPIRE TOURISM INDIA PVT LTD","ASPIRE TOURISM INDIA PVT LTD"
"Apr 6, 2024 6:45 PM","TJ119789370541","AIR","Credit Line","Paid For Order","75137.74","","","","524862.26","75137.74","Success","","75138.18","","9165342471","","","0","0","0","TJ119789370541","","31061288","31061288","Apr 6, 2024 6:45 PM","","","ASPIRE TOURISM INDIA PVT LTD","ASPIRE TOURISM INDIA PVT LTD"
"Apr 6, 2024 6:45 PM","TJ119789370541","AIR","Deposit","Paid For Order","0.44","","","","0","","Success","","75138.18","","6072070570","","","0","0","0","TJ119789370541","","31061288","31061288","","","","ASPIRE TOURISM INDIA PVT LTD","ASPIRE TOURISM INDIA PVT LTD"
"Apr 7, 2024 8:31 PM","TJ103389429515","AIR","Credit Line","Paid For Order","15523","","","","509339.26","90660.74","Success","","15523","","6394490332","","","0","0","0","TJ103389429515","","31061288","31061288","Apr 7, 2024 8:31 PM","","","ASPIRE TOURISM INDIA PVT LTD","ASPIRE TOURISM INDIA PVT LTD"
"Apr 7, 2024 8:31 PM","TJ103389429515","AIR","Credit Line","Commission","","134.98","142.07999999999998","","509474.24","90525.76","Success","Utilisation Adjustment","​-","","6200737883","","","0","0","7.1","TJ103389429515","","31061288","31061288","Apr 7, 2024 8:31 PM","","","ASPIRE TOURISM INDIA PVT LTD","ASPIRE TOURISM INDIA PVT LTD"
"Apr 8, 2024 3:33 PM","TJ119189480407","AIR","Credit Line","Paid For Order","77035","","","","432439.24","167560.76","Success","","77035","","0087700164","","","0","1000","0","TJ119189480407","","31061288","31061288","Apr 8, 2024 3:33 PM","","","ASPIRE TOURISM INDIA PVT LTD","ASPIRE TOURISM INDIA PVT LTD"
"Apr 8, 2024 3:39 PM","TJ113689480936","AIR","Credit Line","Paid For Order","81388","","","","351051.24","248948.76","Success","","81388","","2461091911","","","0","1000","0","TJ113689480936","","31061288","31061288","Apr 8, 2024 3:39 PM","","","ASPIRE TOURISM INDIA PVT LTD","ASPIRE TOURISM INDIA PVT LTD"
"Apr 8, 2024 4:47 PM","TJ110789487618","AIR","Credit Line","Paid For Order","16653.49","","","","334397.75","265602.25","Success","","16653.49","","9403978986","","","0","500","0","TJ110789487618","","31061288","31061288","Apr 8, 2024 4:47 PM","","","ASPIRE TOURISM INDIA PVT LTD","ASPIRE TOURISM INDIA PVT LTD"
"Apr 8, 2024 4:50 PM","TJ110789487618","AIR","Credit Line","Reverse","","16653.49","","","351051.24","248948.76","Success","Utilisation Adjustment","16653.49","","9993155032","","","0","0","0","TJ110789487618","","81110360","31061288","Apr 8, 2024 4:50 PM","","","Upasana Vaidya","ASPIRE TOURISM INDIA PVT LTD"
"Apr 8, 2024 4:54 PM","TJ112189488509","AIR","Credit Line","Paid For Order","12768.49","","","","338282.75","261717.25","Success","","12768.49","","0274189346","","","0","0","0","TJ112189488509","","31061288","31061288","Apr 8, 2024 4:54 PM","","","ASPIRE TOURISM INDIA PVT LTD","ASPIRE TOURISM INDIA PVT LTD"
"Apr 8, 2024 5:13 PM","TJ112189488509","AIR","Credit Line","Reverse","","12768.49","","","351051.24","248948.76","Success","Utilisation Adjustment","12768.49","","1379764530","","","0","0","0","TJ112189488509","","21110356","31061288","Apr 8, 2024 5:13 PM","","","Abdul Sattar Dawre","ASPIRE TOURISM INDIA PVT LTD"
"Apr 8, 2024 5:56 PM","TJ103389429515","AIR","Credit Line","Refund","","8373","","543108879640","359424.24","240575.76","Success","Bill Settle","8373","","4024668335","","","0","0","0","TJ103389429515","TJA2489494863","31061288","31061288","Apr 8, 2024 5:56 PM","","","ASPIRE TOURISM INDIA PVT LTD","ASPIRE TOURISM INDIA PVT LTD"
"Apr 8, 2024 5:56 PM","TJ103389429515","AIR","Credit Line","Commission","134.98","","-142.07999999999998","","359289.26","240710.74","Success","","​-","","1588848376","","","0","0","-7.1","TJ103389429515","TJA2489494863","31061288","31061288","Apr 8, 2024 5:56 PM","","","ASPIRE TOURISM INDIA PVT LTD","ASPIRE TOURISM INDIA PVT LTD"
"Apr 8, 2024 7:22 PM","309189501886","WALLET_TOPUP","Credit Line","Topup","","75180","","543108879640","434469.26","165530.74","Success","Bill Settle","75180","","5021153199","Paid using: hdfc_ccavenue; Payment Fee: 15.00; Merchant Txn Id: 113243323121","","0","0","0","309189501886","","31061288","31061288","Apr 8, 2024 7:22 PM","","","ASPIRE TOURISM INDIA PVT LTD","ASPIRE TOURISM INDIA PVT LTD"
"Apr 9, 2024 10:35 AM","TJ110389537109","AIR","Credit Line","Paid For Order","37149","","","","397320.26","202679.74","Success","","37149","","9188585821","","","0","2000","0","TJ110389537109","","31061288","31061288","Apr 9, 2024 10:35 AM","","","ASPIRE TOURISM INDIA PVT LTD","ASPIRE TOURISM INDIA PVT LTD"
"Apr 9, 2024 10:35 AM","TJ110389537109","AIR","Credit Line","Commission","","342","360","","397662.26","202337.74","Success","Utilisation Adjustment","​-","","3874725199","","","0","0","18","TJ110389537109","","31061288","31061288","Apr 9, 2024 10:35 AM","","","ASPIRE TOURISM INDIA PVT LTD","ASPIRE TOURISM INDIA PVT LTD"
"Apr 9, 2024 7:17 PM","TJ106989583536","AIR","Credit Line","Paid For Order","15533","","","","382129.26","217870.74","Success","","15533","","2634529746","","","0","0","0","TJ106989583536","","31061288","31061288","Apr 9, 2024 7:17 PM","","","ASPIRE TOURISM INDIA PVT LTD","ASPIRE TOURISM INDIA PVT LTD"
"Apr 9, 2024 7:17 PM","TJ106989583536","AIR","Credit Line","Commission","","150.79","158.73","","382280.05","217719.95","Success","Utilisation Adjustment","​-","","3243119607","","","0","0","7.94","TJ106989583536","","31061288","31061288","Apr 9, 2024 7:17 PM","","","ASPIRE TOURISM INDIA PVT LTD","ASPIRE TOURISM INDIA PVT LTD"
"Apr 10, 2024 1:37 PM","308889641920","WALLET_TOPUP","Credit Line","Topup","","6972.76","","543108879640","389252.81","210747.19","Success","Bill Settle","6973","","2351286378","Paid using: Payphi; Payment Fee: 0.00; Merchant Txn Id: 4400165630885","","0","0","0","308889641920","","31061288","31061288","Apr 10, 2024 1:37 PM","","","ASPIRE TOURISM INDIA PVT LTD","ASPIRE TOURISM INDIA PVT LTD"
"Apr 10, 2024 1:37 PM","308889641920","WALLET_TOPUP","Credit Line","Topup","","0.24","","","389253.05","210746.95","Success","Utilisation Adjustment","6973","","2133425313","Paid using: Payphi; Payment Fee: 0.00; Merchant Txn Id: 4400165630885","","0","0","0","308889641920","","31061288","31061288","Apr 10, 2024 1:37 PM","","","ASPIRE TOURISM INDIA PVT LTD","ASPIRE TOURISM INDIA PVT LTD"
"Apr 10, 2024 2:47 PM","TJ108089648043","AIR","Credit Line","Paid For Order","79448","","","","309805.05","290194.95","Success","","79448","","0366849660","","","0","0","0","TJ108089648043","","31061288","31061288","Apr 10, 2024 2:47 PM","","","ASPIRE TOURISM INDIA PVT LTD","ASPIRE TOURISM INDIA PVT LTD"
"Apr 10, 2024 2:47 PM","TJ108089648043","AIR","Credit Line","Commission","","1390.68","1463.8400000000001","","311195.73","288804.27","Success","Utilisation Adjustment","​-","","2107769354","","","0","0","73.16","TJ108089648043","","31061288","31061288","Apr 10, 2024 2:47 PM","","","ASPIRE TOURISM INDIA PVT LTD","ASPIRE TOURISM INDIA PVT LTD"
"Apr 11, 2024 3:34 PM","TJ114189731181","AIR","Credit Line","Paid For Order","53224","","","","257971.73","342028.27","Success","","53224","","7149885517","","","0","1200","0","TJ114189731181","","31061288","31061288","Apr 11, 2024 3:34 PM","","","ASPIRE TOURISM INDIA PVT LTD","ASPIRE TOURISM INDIA PVT LTD"
"Apr 11, 2024 3:34 PM","TJ114189731181","AIR","Credit Line","Commission","","629.54","662.68","","258601.27","341398.73","Success","Utilisation Adjustment","​-","","4354756232","","","0","0","33.14","TJ114189731181","","31061288","31061288","Apr 11, 2024 3:34 PM","","","ASPIRE TOURISM INDIA PVT LTD","ASPIRE TOURISM INDIA PVT LTD"
"Apr 12, 2024 1:20 PM","309889798183","WALLET_TOPUP","Credit Line","Topup","","50000","","","308601.27","291398.73","Success","Utilisation Adjustment","50000","","0768560424","Paid using: Payphi; Payment Fee: 0.00; Merchant Txn Id: 4400166124070","","0","0","0","309889798183","","31061288","31061288","Apr 12, 2024 1:20 PM","","","ASPIRE TOURISM INDIA PVT LTD","ASPIRE TOURISM INDIA PVT LTD"
"Apr 14, 2024 2:57 PM","TJ101489958494","AIR","Credit Line","Paid For Order","33404","","","","275197.27","324802.73","Success","","33404","","7020897092","","","0","1800","0","TJ101489958494","","31061288","31061288","Apr 14, 2024 2:57 PM","","","ASPIRE TOURISM INDIA PVT LTD","ASPIRE TOURISM INDIA PVT LTD"
"Apr 14, 2024 2:57 PM","TJ101489958494","AIR","Credit Line","Commission","","158.1","166.42","","275355.37","324644.63","Success","Utilisation Adjustment","​-","","9738998772","","","0","0","8.32","TJ101489958494","","31061288","31061288","Apr 14, 2024 2:57 PM","","","ASPIRE TOURISM INDIA PVT LTD","ASPIRE TOURISM INDIA PVT LTD"
"Apr 15, 2024 12:05 PM","TJ111590011844","AIR","Credit Line","Paid For Order","58018","","","","217337.37","382662.63","Success","","58018","","5151599423","","","0","3600","0","TJ111590011844","","31061288","31061288","Apr 15, 2024 12:05 PM","","","ASPIRE TOURISM INDIA PVT LTD","ASPIRE TOURISM INDIA PVT LTD"
"Apr 15, 2024 12:05 PM","TJ111590011844","AIR","Credit Line","Commission","","342","360","","217679.37","382320.63","Success","Utilisation Adjustment","​-","","4461470427","","","0","0","18","TJ111590011844","","31061288","31061288","Apr 15, 2024 12:05 PM","","","ASPIRE TOURISM INDIA PVT LTD","ASPIRE TOURISM INDIA PVT LTD"
"Apr 15, 2024 12:13 PM","TJ119790013129","AIR","Credit Line","Paid For Order","30608","","","","187071.37","412928.63","Success","","30608","","3236302083","","","0","4100","0","TJ119790013129","","31061288","31061288","Apr 15, 2024 12:13 PM","","","ASPIRE TOURISM INDIA PVT LTD","ASPIRE TOURISM INDIA PVT LTD"
